n;no_of_blocks;threads_per_block;elapsed_time
512;16;32;0.200352
512;8;64;0.014976
512;4;128;0.010784
512;2;256;0.011648
512;1;512;0.011328
1024;32;32;0.016416
1024;16;64;0.017184
1024;8;128;0.012160
1024;4;256;0.011424
1024;2;512;0.010976
2048;64;32;0.018400
2048;32;64;0.014720
2048;16;128;0.014496
2048;8;256;0.013088
2048;4;512;0.014624
4096;128;32;0.014688
4096;64;64;0.012480
4096;32;128;0.012000
4096;16;256;0.014912
4096;8;512;0.012640
8192;256;32;0.013632
8192;128;64;0.012704
8192;64;128;0.011136
8192;32;256;0.012288
8192;16;512;0.010976
16384;512;32;0.011680
16384;256;64;0.018560
16384;128;128;0.013280
16384;64;256;0.012096
16384;32;512;0.011424
32768;1024;32;0.017856
32768;512;64;0.012480
32768;256;128;0.012416
32768;128;256;0.012704
32768;64;512;0.013312
65536;2048;32;0.025568
65536;1024;64;0.016352
65536;512;128;0.013248
65536;256;256;0.013024
65536;128;512;0.013408
131072;4096;32;0.026272
131072;2048;64;0.018656
131072;1024;128;0.015744
131072;512;256;0.014752
131072;256;512;0.015520
262144;8192;32;0.038752
262144;4096;64;0.025664
262144;2048;128;0.018592
262144;1024;256;0.018144
262144;512;512;0.019840
524288;16384;32;0.062656
524288;8192;64;0.040704
524288;4096;128;0.035840
524288;2048;256;0.035264
524288;1024;512;0.037312
1048576;32768;32;0.123808
1048576;16384;64;0.061248
1048576;8192;128;0.057568
1048576;4096;256;0.058496
1048576;2048;512;0.059520
2097152;65536;32;0.222656
2097152;32768;64;0.113408
2097152;16384;128;0.105440
2097152;8192;256;0.107360
2097152;4096;512;0.108960
4194304;131072;32;0.435968
4194304;65536;64;0.210656
4194304;32768;128;0.201408
4194304;16384;256;0.200544
4194304;8192;512;0.202176
8388608;262144;32;0.850976
8388608;131072;64;0.407104
8388608;65536;128;0.394496
8388608;32768;256;0.393856
8388608;16384;512;0.395296
16777216;524288;32;1.695200
16777216;262144;64;0.800192
16777216;131072;128;0.783744
16777216;65536;256;0.781632
16777216;32768;512;0.782880
